model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
CatBoost_r49_BAG_L1,0.6213235294117647,0.5675675675675675,0.8227272727272728,0.7534246575342466,,,,
CatBoost_r5_BAG_L2,0.6205882352941177,0.5945945945945946,0.8151515151515152,0.7534246575342466,,,,
ExtraTreesGini_BAG_L1,0.625,0.6351351351351351,0.781060606060606,0.7534246575342466,0.6139705882352942,0.5945945945945946,0.678030303030303,0.6164383561643836
LightGBM_r15_BAG_L1,0.6183823529411764,0.5540540540540541,0.7742424242424242,0.6712328767123288,,,,
NeuralNetFastAI_r127_BAG_L1,0.6176470588235293,0.5675675675675675,0.7333333333333334,0.6986301369863014,,,,
CatBoost_BAG_L1,0.6088235294117648,0.5405405405405406,0.7962121212121213,0.726027397260274,0.625,0.581081081081081,0.7098484848484848,0.6438356164383562
CatBoost_r50_BAG_L1,0.6161764705882353,0.5540540540540541,0.8204545454545454,0.7808219178082192,,,,
RandomForestGini_BAG_L2,0.6018382352941176,0.5945945945945946,0.8170454545454546,0.7671232876712328,0.6297794117647059,0.6081081081081081,0.6920454545454544,0.6438356164383562
LightGBMXT_BAG_L1,0.5948529411764706,0.581081081081081,0.796969696969697,0.7534246575342466,0.6367647058823529,0.5540540540540541,0.7446969696969697,0.684931506849315
RandomForestGini_BAG_L1,0.64375,0.581081081081081,0.7806818181818184,0.7397260273972602,0.5875,0.5945945945945946,0.6587121212121213,0.6438356164383562
XGBoost_r34_BAG_L1,0.6154411764705883,0.5135135135135135,0.7666666666666667,0.7123287671232876,,,,
CatBoost_r9_BAG_L1,0.6220588235294118,0.5540540540540541,0.7825757575757576,0.7397260273972602,0.6088235294117648,0.581081081081081,0.6984848484848485,0.6438356164383562
CatBoost_r198_BAG_L2,0.6154411764705883,0.581081081081081,0.825,0.7808219178082192,,,,
LightGBM_r15_BAG_L2,0.6154411764705883,0.6216216216216216,0.7931818181818182,0.7534246575342466,,,,
NeuralNetFastAI_r143_BAG_L2,0.6147058823529412,0.5675675675675675,0.8348484848484847,0.8082191780821918,,,,
LightGBMLarge_BAG_L1,0.6433823529411765,0.5945945945945946,0.7522727272727273,0.7123287671232876,0.5845588235294117,0.4864864864864865,0.6969696969696969,0.6164383561643836
CatBoost_r5_BAG_L1,0.6132352941176471,0.5675675675675675,0.8356060606060607,0.7534246575342466,,,,
ExtraTrees_r172_BAG_L1,0.6132352941176471,0.5945945945945946,0.8257575757575758,0.7945205479452054,,,,
CatBoost_r167_BAG_L1,0.6125,0.5405405405405406,0.8083333333333332,0.726027397260274,,,,
CatBoost_r12_BAG_L1,0.6125,0.5405405405405406,0.8015151515151516,0.7534246575342466,,,,
NeuralNetFastAI_r95_BAG_L2,0.6124999999999999,0.6621621621621622,0.796969696969697,0.7534246575342466,,,,
RandomForest_r16_BAG_L2,0.6121323529411765,0.6216216216216216,0.7818181818181816,0.726027397260274,,,,
CatBoost_r69_BAG_L1,0.6117647058823529,0.5540540540540541,0.8212121212121212,0.7671232876712328,,,,
CatBoost_BAG_L2,0.5852941176470589,0.581081081081081,0.8333333333333334,0.7808219178082192,0.636764705882353,0.581081081081081,0.7227272727272728,0.6712328767123288
ExtraTrees_r4_BAG_L2,0.6110294117647059,0.5540540540540541,0.8340909090909091,0.7671232876712328,,,,
ExtraTreesEntr_BAG_L2,0.6213235294117648,0.581081081081081,0.8234848484848486,0.821917808219178,0.6000000000000001,0.6216216216216216,0.6772727272727274,0.6575342465753424
CatBoost_r143_BAG_L1,0.6102941176470588,0.5405405405405406,0.7977272727272727,0.7123287671232876,,,,
LightGBM_r42_BAG_L1,0.6095588235294118,0.5945945945945946,0.8143939393939393,0.7671232876712328,,,,
CatBoost_r70_BAG_L1,0.6095588235294118,0.5540540540540541,0.8045454545454547,0.7534246575342466,,,,
NeuralNetFastAI_r103_BAG_L1,0.6095588235294118,0.5405405405405406,0.7704545454545454,0.6986301369863014,,,,
CatBoost_r128_BAG_L1,0.6088235294117648,0.5540540540540541,0.7893939393939393,0.726027397260274,,,,
NeuralNetFastAI_r11_BAG_L1,0.6080882352941177,0.5135135135135135,0.7151515151515152,0.5205479452054794,,,,
CatBoost_r163_BAG_L2,0.6080882352941177,0.6081081081081081,0.8128787878787879,0.7397260273972602,,,,
CatBoost_r177_BAG_L1,0.6088235294117648,0.5405405405405406,0.8257575757575757,0.726027397260274,0.6058823529411765,0.5675675675675675,0.7159090909090909,0.6438356164383562
