model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_r131_BAG_L1,0.6051470588235295,roc_auc,0.021416902542114258,0.5284767150878906,0.021416902542114258,0.5284767150878906,1,True,12
LightGBM_r196_BAG_L1,0.6036764705882354,roc_auc,0.07701373100280762,0.8567297458648682,0.07701373100280762,0.8567297458648682,1,True,36
CatBoost_r60_BAG_L1,0.6036764705882353,roc_auc,0.014590024948120117,0.91693115234375,0.014590024948120117,0.91693115234375,1,True,64
CatBoost_r6_BAG_L1,0.6036764705882353,roc_auc,0.021394968032836914,0.9738726615905762,0.021394968032836914,0.9738726615905762,1,True,69
CatBoost_r198_BAG_L1,0.6029411764705882,roc_auc,0.03368091583251953,1.3583347797393799,0.03368091583251953,1.3583347797393799,1,True,83
RandomForestGini_BAG_L2,0.6018382352941176,roc_auc,0.5912590026855469,7.975507497787476,0.05339503288269043,0.3731667995452881,2,True,91
XGBoost_r31_BAG_L2,0.6014705882352941,roc_auc,0.655902624130249,8.311493396759033,0.11803865432739258,0.7091526985168457,2,True,150
RandomForest_r195_BAG_L2,0.6003676470588235,roc_auc,0.5799174308776855,8.746732950210571,0.0420534610748291,1.1443922519683838,2,True,109
CatBoost_r163_BAG_L1,0.6,roc_auc,0.018625974655151367,1.113048791885376,0.018625974655151367,1.113048791885376,1,True,82
XGBoost_r33_BAG_L2,0.6,roc_auc,0.6087777614593506,8.3095703125,0.07091379165649414,0.7072296142578125,2,True,104
RandomForestEntr_BAG_L2,0.5992647058823529,roc_auc,0.5806987285614014,8.004728555679321,0.04283475875854492,0.4023878574371338,2,True,92
ExtraTrees_r4_BAG_L1,0.5985294117647059,roc_auc,0.030841350555419922,0.7422575950622559,0.030841350555419922,0.7422575950622559,1,True,53
ExtraTrees_r178_BAG_L2,0.5977941176470588,roc_auc,0.5837595462799072,8.451489925384521,0.04589557647705078,0.849149227142334,2,True,148
